,objectname,rating,numplays,average,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,itemtype,,,,,,,,,,,,,
223,"Ace of Aces: Powerhouse Series","7","1","7.22999","Ace of Aces: Powerhouse Series","2","2","20","20","20","1981","standalone",,,,,,,,,,,,,
224,"Ace of Aces: Wingleader","7","","6.54451","Ace of Aces: Wingleader","2","2","20","20","20","1988","standalone",,,,,,,,,,,,,
225,"Aces High","4","","6.42586","Aces High","1","2","30","30","30","1992","standalone",,,,,,,,,,,,,
226,"Achtung! Panzer!","7","","7.64286","Achtung! Panzer!","2","2","0","0","0","1996","expansion",,,,,,,,,,,,,
227,"Acquire","6","17","7.34956","Acquire","2","6","90","90","90","1976","standalone",,,,,,,,,,,,,
228,"Across 5 Aprils","8","9","6.95337","Across 5 Aprils","2","2","180","180","180","1992","standalone",,,,,,,,,,,,,
229,"Across Suez","3","","6.04198","Across Suez","2","2","120","120","120","1980","standalone",,,,,,,,,,,,,
230,"Activity","4","9","6.00314","Activity","3","16","45","45","45","1990","standalone",,,,,,,,,,,,,
231,"Activity 1996","3","","4","Activity 1996","3","16","90","90","90","1997","expansion",,,,,,,,,,,,,
232,"Activity Die siebziger Jahre! Zusatzkarten","4","","5","Activity Die siebziger Jahre! Zusatzkarten","3","16","90","90","90","2000","expansion",,,,,,,,,,,,,
233,"Activity Kompaktausgabe","0","","5.52168","thing","Activity kompakt","3","16","60","60","60","",,,,,,,,,,,,,
234,"Activity Superthema Freizeit und Essen","4","","6","Activity Superthema Freizeit und Essen","3","16","45","45","45","0","expansion",,,,,,,,,,,,,
235,"Activity Superthema Heute","4","","4","Activity Superthema Heute","3","16","90","90","90","1995","expansion",,,,,,,,,,,,,
236,"Activity Superthema Körper & Natur","4","","5.66667","Activity Superthema Körper & Natur","3","16","90","90","90","1994","expansion",,,,,,,,,,,,,
237,"Activity Superthema Urlaub & Sport","4","","5.42857","Activity Superthema Urlaub & Sport","3","16","90","90","90","1993","expansion",,,,,,,,,,,,,
238,"Adel Verpflichtet","7","7","6.28659","thing","Hoity Toity","2","6","45","45","45","",,,,,,,,,,,,,
239,"Adel Verpflichtet","7","7","6.52799","Hoity Toity","2","6","45","45","45","2000","standalone",,,,,,,,,,,,,
240,"Adlung Land","5","","5.91448","Adlung Land","2","4","45","45","45","2010","standalone",,,,,,,,,,,,,
241,"The Administrative Waltz","5","","3.5","The Administrative Waltz","2","8","60","60","60","1976","standalone",,,,,,,,,,,,,
242,"Advanced Civilization","8","16","8.01939","Advanced Civilization","2","8","480","480","360","1991","expansion",,,,,,,,,,,,,
243,"Advanced Heroquest","6","","6.76704","Advanced Heroquest","1","5","120","120","120","1989","standalone",,,,,,,,,,,,,
244,"Advanced Heroquest: Terror in the Dark","6","","7.04451","Advanced Heroquest: Terror in the Dark","2","5","120","120","120","1991","expansion",,,,,,,,,,,,,
245,"Advanced Squad Leader Starter Kit Scenario Design Contest","6","","5","Advanced Squad Leader Starter Kit Scenario Design Contest","2","2","0","0","0","2005","expansion",,,,,,,,,,,,,
246,"Advanced Squad Leader: Deluxe Pack 1","7","4","7.97368","Advanced Squad Leader: Deluxe Pack 1","2","3","120","120","120","2014","expansion",,,,,,,,,,,,,
247,"Advanced Squad Leader: Starter Kit Historical Module 1 – Decision at Elst","8","","8.47898","Advanced Squad Leader: Starter Kit Historical Module 1 – Decision at Elst","2","2","720","720","360","2013","standalone",,,,,,,,,,,,,
248,"Advanced Third Reich","9","","6.83792","Advanced Third Reich","2","6","2480","2480","2480","1992","standalone",,,,,,,,,,,,,
249,"Aegean Strike","6","","6.30121","Aegean Strike","2","2","360","360","360","1986","standalone",,,,,,,,,,,,,
250,"Aeroplanes: Aviation Ascendant","7","1","5.88877","thing","Aeroplanes: Aviation Ascendant","3","5","120","120","120","",,,,,,,,,,,,,
251,"Aeroplanes: Charters","5","","6.90645","Aeroplanes: Charters","3","5","120","120","120","2012","expansion",,,,,,,,,,,,,
252,"Aeroplanes: PWS-24","4","","6.852","Aeroplanes: PWS-24","3","5","120","120","120","2012","expansion",,,,,,,,,,,,,
253,"Afghanistan","3","","5.35714","Afghanistan","2","2","90","90","90","1999","standalone",,,,,,,,,,,,,
254,"Afrika Korps","7","4","6.18915","Afrika Korps","2","4","180","180","180","1964","standalone",,,,,,,,,,,,,
255,"After the Flood","4","1","6.89131","After the Flood","3","3","180","180","180","2008","standalone",,,,,,,,,,,,,
256,"Age of Conan: The Strategy Board Game","7","","6.66825","Age of Conan: The Strategy Board Game","2","4","90","90","90","2009","standalone",,,,,,,,,,,,,
257,"Age of Conan: The Strategy Board Game – Adventures in Hyboria","7","","7.71234","Age of Conan: The Strategy Board Game – Adventures in Hyboria","2","4","0","0","0","2016","expansion",,,,,,,,,,,,,
258,"Age of Empires III: The Age of Discovery","10","8","10086237","8008","thing","Age of Empires III: The Age of Discovery","2","5","120","120","",,,,,,,,,,,,,
259,"Age of Exploration","2","1","6.05679","Age of Exploration","1","6","180","180","180","1994","standalone",,,,,,,,,,,,,
260,"Age of Industry","10","3","7.40002","Age of Industry","2","5","120","120","120","2010","standalone",,,,,,,,,,,,,
261,"Age of Industry Expansion #1: Japan and Minnesota","9","","7.83832","Age of Industry Expansion #1: Japan and Minnesota","2","5","120","120","120","2011","expansion",,,,,,,,,,,,,
262,"Age of Industry Expansion: Belgium & USSR","9","","7.85083","Age of Industry Expansion: Belgium & USSR","2","5","120","120","120","2013","expansion",,,,,,,,,,,,,
263,"Age of Industry Expansion: Great Lakes & South Africa","9","","8.0232","Age of Industry Expansion: Great Lakes & South Africa","2","5","120","120","120","2013","expansion",,,,,,,,,,,,,
264,"Age of Mythology: The Boardgame","4","1","6.13632","Age of Mythology: The Boardgame","2","4","120","120","120","2003","standalone",,,,,,,,,,,,,
265,"Age of Renaissance","6","10","6.44243","thing","Age of Renaissance","3","6","360","360","360","",,,,,,,,,,,,,
266,"Age of Steam","10","13","7.69777","Age of Steam","1","6","120","120","120","2004","standalone",,,,,,,,,,,,,
267,"Age of Steam","10","13","7.69777","Age of Steam","1","6","120","120","120","2008","standalone",,,,,,,,,,,,,
268,"Age of Steam Expansion #1: England & Ireland","10","","8.05309","Age of Steam Expansion #1: England & Ireland","3","6","180","180","180","2003","expansion",,,,,,,,,,,,,
269,"Age of Steam Expansion #2: Western US and Germany","10","","7.82757","Age of Steam Expansion #2: Western United States and Germany","3","6","120","120","120","2004","expansion",,,,,,,,,,,,,
270,"Age of Steam Expansion #2: Western US and Germany","8","","7.82757","Age of Steam Expansion #2: Western United States and Germany","3","6","120","120","120","2003","expansion",,,,,,,,,,,,,
271,"Age of Steam Expansion #3: Scandinavia and Korea","10","","7.82131","Age of Steam Expansion #3: Scandinavia and Korea","3","6","120","120","120","2004","expansion",,,,,,,,,,,,,
272,"Age of Steam Expansion #4: France and Italy","10","","7.41933","Age of Steam Expansion #4: France and Italy","3","6","120","120","120","2005","expansion",,,,,,,,,,,,,
273,'"Age of Steam Expansion: 1830''s Pennsylvania / Northern California"',"10","","7.8442",'"Age of Steam Expansion: 1830''s Pennsylvania / Northern California"',"3","6","120","120","120","2006","expansion",,,,,,,,,,,,,
274,"Age of Steam Expansion: 1867 Georgia Reconstruction,"47687","8","5.5984","thing","Age of Steam Expansion: 1867 Georgia Reconstruction, South Carolina & Oklahoma Land Rush","2","5","120","120","",,,,,,,,,,,,,
275,"Age of Steam Expansion: African Diamond Mines & Taiwan Cube Factories","8","","7.41447","Age of Steam Expansion: African Diamond Mines & Taiwan Cube Factories","3","6","120","120","120","2011","expansion",,,,,,,,,,,,,
276,"Age of Steam Expansion: Alabama Railways,"47686","8","5.61393","thing","Age of Steam Expansion: Alabama Railways, Antebellum Louisiana & Four Corners","2","5","120","120","",,,,,,,,,,,,,
277,"Age of Steam Expansion: Amazon Rainforest & Sahara Desert","7","","7.19405","Age of Steam Expansion: Amazon Rainforest & Sahara Desert","3","6","120","120","120","2010","expansion",,,,,,,,,,,,,
278,"Age of Steam Expansion: America / Europe","8","","7.4752","Age of Steam Expansion: America / Europe","3","6","120","120","120","2007","expansion",,,,,,,,,,,,,
279,"Age of Steam Expansion: Atlantis & Trisland","7","","7.18068","Age of Steam Expansion: Atlantis & Trisland","3","6","120","120","120","2010","expansion",,,,,,,,,,,,,
280,"Age of Steam Expansion: Australia & Tasmania","8","","7.46469","Age of Steam Expansion: Australia & Tasmania","3","6","120","120","120","2011","expansion",,,,,,,,,,,,,
281,"Age of Steam Expansion: Austria,"19898","8","5.54726","thing","Age of Steam Expansion: Austria, Switzerland & The Netherlands","2","7","120","120","",,,,,,,,,,,,,
282,"Age of Steam Expansion: Barbados / St. Lucia","5","","","0","960","thing","Age of Steam Expansion: Barbados / St. Lucia","1","2","30","",,,,,,,,,,,,,
283,"Age of Steam Expansion: Bay Area","8","","6.99769","Age of Steam Expansion: Bay Area","3","5","120","120","120","2005","expansion",,,,,,,,,,,,,
284,"Age of Steam Expansion: Beer & Pretzels","7","","6.45673","Age of Steam Expansion: Beer & Pretzels","3","6","90","90","90","2009","expansion",,,,,,,,,,,,,
285,"Age of Steam Expansion: Belgium","6","","5.38462","Age of Steam Expansion: Belgium","2","2","90","90","90","2013","expansion",,,,,,,,,,,,,
286,"Age of Steam Expansion: California Gold Rush & Underground Railroad","7","","7.37027","Age of Steam Expansion: California Gold Rush & Underground Railroad","3","6","120","120","120","2010","expansion",,,,,,,,,,,,,
287,"Age of Steam Expansion: Chile,"37388","8","5.56493","thing","Age of Steam Expansion: Chile, Egypt and CCCP","3","6","120","120","",,,,,,,,,,,,,
288,"Age of Steam Expansion: Die Niederlande","8","","6.94917","Age of Steam Expansion: The Netherlands","5","7","120","120","120","2007","expansion",,,,,,,,,,,,,
289,"Age of Steam Expansion: Disco Inferno / Soul Train","5","","7.61291","Age of Steam Expansion: Disco Inferno / Soul Train","3","6","120","120","120","2006","expansion",,,,,,,,,,,,,
290,"Age of Steam Expansion: Eastern US & Canada","8","","7.09289","Age of Steam Expansion: Eastern US & Canada","3","6","120","120","120","2006","expansion",,,,,,,,,,,,,
291,"Age of Steam Expansion: Finland & Portugal","8","","7.29606","Age of Steam Expansion: Finland & Portugal","3","6","120","120","120","2009","expansion",,,,,,,,,,,,,
292,"Age of Steam Expansion: Germany & France","8","","7.79927","Age of Steam Expansion: Germany & France","3","6","120","120","120","2009","expansion",,,,,,,,,,,,,
293,"Age of Steam Expansion: Great Britain","8","","7.26667","Age of Steam Expansion: Great Britain","3","6","120","120","120","2011","expansion",,,,,,,,,,,,,
294,"Age of Steam Expansion: Greece and Cyclades","6","","7.18182","Age of Steam Expansion: Greece and Cyclades","3","5","120","120","120","2011","expansion",,,,,,,,,,,,,
295,"Age of Steam Expansion: Hungary","8","","7.64286","Age of Steam Expansion: Hungary","0","0","0","0","0","2012","expansion",,,,,,,,,,,,,
296,"Age of Steam Expansion: Jamaica / Puerto Rico","8","","6.97434","Age of Steam Expansion: Jamaica / Puerto Rico","1","2","30","30","30","2007","expansion",,,,,,,,,,,,,
297,"Age of Steam Expansion: Las Vegas and Korea (N&S)","7","","7.59722","Age of Steam Expansion: Las Vegas and Korea (N&S)","3","5","120","120","120","2012","expansion",,,,,,,,,,,,,
298,"Age of Steam Expansion: Mexico & China","8","","7.81509","Age of Steam Expansion: Mexico & China","3","6","120","120","120","2011","expansion",,,,,,,,,,,,,
299,"Age of Steam Expansion: Mississippi Steamboats / Golden Spike","8","","7.18628","Age of Steam Expansion: Mississippi Steamboats / Golden Spike","3","6","120","120","120","2007","expansion",,,,,,,,,,,,,
300,"Age of Steam Expansion: Moon and Berlin Wall","6","","8.10938","Age of Steam Expansion: Moon and Berlin Wall","2","6","120","120","120","2011","expansion",,,,,,,,,,,,,
301,"Age of Steam Expansion: New England","7","","6.9","Age of Steam Expansion: New England","2","2","0","0","0","2015","expansion",,,,,,,,,,,,,
302,"Age of Steam Expansion: Orient Express & Disoriented Express","5","","5.09091","Age of Steam Expansion: Orient Express & Disoriented Express","3","5","120","120","120","2011","expansion",,,,,,,,,,,,,
303,"Age of Steam Expansion: Outer Space & Reversteam","8","","7.51687","Age of Steam Expansion: Outer Space & Reversteam","3","6","120","120","120","2011","expansion",,,,,,,,,,,,,
304,"Age of Steam Expansion: Paris & Moscow","6","","7.06875","Age of Steam Expansion: Paris & Moscow","3","5","120","120","120","2010","expansion",,,,,,,,,,,,,
305,"Age of Steam Expansion: Poland","8","","7.12381","Age of Steam Expansion: Poland","0","0","0","0","0","2010","expansion",,,,,,,,,,,,,
306,"Age of Steam Expansion: Secret Blueprints of Steam Plans 1 & 2","7","","6.62075","Age of Steam Expansion: Secret Blueprints of Steam Plans 1 & 2","3","4","45","45","45","2008","expansion",,,,,,,,,,,,,
307,"Age of Steam Expansion: Sicily","6","","7.24545","Age of Steam Expansion: Sicily","3","3","0","0","0","2017","expansion",,,,,,,,,,,,,
308,"Age of Steam Expansion: South America / South Africa","7","","7.7707","Age of Steam Expansion: South America / South Africa","3","6","120","120","120","2012","expansion",,,,,,,,,,,,,
309,"Age of Steam Expansion: Special 2008 Spiel Limited Edition – Essen Spiel & Secret Blueprints of Steam Plan #3","7","","7.20254","Age of Steam Expansion: Special 2008 Spiel Limited Edition – Essen Spiel & Secret Blueprints of Steam Plan #3","3","6","45","45","45","2008","expansion",,,,,,,,,,,,,
310,"Age of Steam Expansion: Sun / London","8","","7.58473","Age of Steam Expansion: Sun / London","3","6","120","120","120","2006","expansion",,,,,,,,,,,,,
311,"Age of Steam Expansion: Texas,"36481","8","5.55519","thing","Age of Steam Expansion: Texas, Oklahoma & New Mexico","3","6","120","120","",,,,,,,,,,,,,
312,"Age of Steam Expansion: The Alps","7","","7.1875","Age of Steam Expansion: The Alps","3","6","120","120","120","2013","expansion",,,,,,,,,,,,,
313,"Age of Steam Expansion: The Giant Maps","9","","7","Age of Steam Expansion: The Giant Maps","3","6","120","120","120","2013","expansion",,,,,,,,,,,,,
314,"Age of Steam Expansion: The Railroad Switches","7","","4","Age of Steam Expansion: The Railroad Switches","3","6","120","120","120","2013","expansion",,,,,,,,,,,,,
315,"Age of Steam Expansion: The Zombie Apocalypse","8","","7.62137","Age of Steam Expansion: The Zombie Apocalypse","3","5","120","120","120","2009","expansion",,,,,,,,,,,,,
316,"Age of Steam Expansion: Tibet and Cyprus","8","","7.26471","Age of Steam Expansion: Tibet and Cyprus","3","5","120","120","120","2012","expansion",,,,,,,,,,,,,
317,"Age of Steam Expansion: Ukraine","8","","6.29167","Age of Steam Expansion: Ukraine","0","0","0","0","0","2014","expansion",,,,,,,,,,,,,
318,"Age of Steam Expansion: Vermont,"37302","8","5.65476","thing","Age of Steam Expansion: Vermont, New Hampshire & Central New England","3","8","120","120","",,,,,,,,,,,,,
319,"Age of Steam Expansion: War in Iraq & New York Subway","8","","6.92648","Age of Steam Expansion: War in Iraq & New York Subway","3","6","120","120","120","2007","expansion",,,,,,,,,,,,,
320,"Age of Steam Expansion: Washington DC and The Berlin Wall","8","","7.45182","Age of Steam Expansion: Washington DC and The Berlin Wall","3","4","120","120","120","2008","expansion",,,,,,,,,,,,,
321,"Age of Steam Expansions: Southern US & Pittsburgh","8","","10086268","60","thing","Age of Steam Expansions: Southern US & Pittsburgh","3","6","120","120","",,,,,,,,,,,,,
322,"Age of Steam: The Moon and Satellite","8","","7.59871","Age of Steam Expansion: The Moon","3","6","120","120","120","2014","expansion",,,,,,,,,,,,,
323,"Age of War","6","","6.4257","Age of War","2","6","30","30","15","2014","standalone",,,,,,,,,,,,,
324,"Agent of Change","5","6","4.9","Agent of Change","2","4","90","90","90","1991","standalone",,,,,,,,,,,,,
325,"Agincourt","6","","6.35682","Agincourt","2","2","60","60","60","2009","expansion",,,,,,,,,,,,,
326,"Agricola","7","8","7.98232","Agricola","1","5","150","150","30","2007","standalone",,,,,,,,,,,,,
327,"Agricola CZ-Deck","8","","7.07807","Agricola CZ-Deck","1","5","120","120","120","2009","expansion",,,,,,,,,,,,,
328,"Agricola Ereignis: Bremer Spieletage","4","","6.244","Agricola Ereigniskarten","1","5","120","120","120","2011","expansion",,,,,,,,,,,,,
329,"Agricola Ereignis: Darmstadt spielt","4","","6.244","Agricola Ereigniskarten","1","5","120","120","120","2011","expansion",,,,,,,,,,,,,
330,"Agricola Ereignis: Spielefest Wien","4","","6.244","Agricola Ereigniskarten","1","5","120","120","120","2011","expansion",,,,,,,,,,,,,
331,"Agricola Ereignis: Spielewelt in Bielefeld","4","","6.244","Agricola Ereigniskarten","1","5","120","120","120","2011","expansion",,,,,,,,,,,,,
332,"Agricola Quartett","2","6","4.46111","The Game of Authors","2","6","15","15","5","2009","standalone",,,,,,,,,,,,,
333,"Agricola X-Deck","4","","6.21659","Agricola X-Deck","1","5","120","120","120","2008","expansion",,,,,,,,,,,,,
334,"Agricola Z-Deck","5","","6.7045","Agricola Z-Deck","1","5","120","120","120","2008","expansion",,,,,,,,,,,,,
335,"Agricola: Belgien-Deck","6","","7.02161","Agricola: Belgium Deck","1","5","180","180","180","2012","expansion",,,,,,,,,,,,,
336,"Agricola: Biogasanlage Promo Card","6","","7.13552","Agricola: Biogas Plant Promo Card","2","5","120","120","120","2011","expansion",,,,,,,,,,,,,
337,"Agricola: Brakelhühner Promo Card","6","","6.35455","Agricola: Brakelhühner Promo Card","1","5","120","120","120","2012","expansion",,,,,,,,,,,,,
338,"Agricola: Das legendäre Forst-Deck – Horst der Holzhacker","5","","6.47778","Agricola: The Legen*dairy Forest Deck – Chuck the Wood Chuck","1","5","120","120","120","2010","expansion",,,,,,,,,,,,,
339,"Agricola: Das legendäre Forst-Deck – Peruanische Inquisition","6","","6.64138","Agricola: The Legen*dairy Forest Deck – Peruvian Inquisition","1","5","120","120","120","2012","expansion",,,,,,,,,,,,,
340,"Agricola: Das legendäre Tannenbäumchen-Deck","5","","6.39454","Agricola: The Legen*dairy Forest-Deck","1","5","120","120","120","2010","expansion",,,,,,,,,,,,,
